Site ID,Latitude,Longitude,Department
Medecins_Sans_Frontieres:_Carrefour:Ouest:Haiti,18.534,-72.409,Ouest
Samangan:Afghanistan,36.265,68.017,None
Dessalines:Artibonite:Haiti,19.28333333,-72.5,Artibonite
Gonaïves:Artibonite:Haiti,19.45,-72.68333333,Artibonite
Saint-Marc:Artibonite:Haiti,19.11666667,-72.7,Artibonite
St._Nicholas_Hospital:Artibonite:Haiti,19.11666667,-72.7,Artibonite
Matlab:Bangladesh,23.35,90.70833333,None
Rupandehi_district:Butawal_municipality,27.7,83.45,Nepal-Source
Bon_Samaritain_Hospital:Cazale:Ouest:Haiti,18.801,-72.384,Ouest
Cange:Centre:Haiti,18.93333333,-71.99166667,Centre
Kailali_district:Dhangadhi,28.68333333,80.6,Other Nepal
Sud:Haiti,18.2,-73.75,Haiti
Madras:India,13.08389,80.27,None
Orissa:India,20.15,85.5,None
Makassar:Indonesia,-5.133333333,119.4166667,None
Kathmandu_district:Kathmandu_city,27.7,85.33333333,Other Nepal
Maidstone:Kent:UK,51.272,0.529,None
Cholera_Treatment_Center:Les_Cayes:Sud:Haiti,18.2,-73.75,Sud
Beira:Mozambique,-19.83333333,34.85,None
Dang_Deokhuri_district:Narayanpur_VDC,28.06666667,82.7,Other Nepal
Banke_district:Nepalgunj_municipality,28.05,81.61666667,Nepal-Source
Bassin_Bleu:Nord-Ouest:Haiti,18.23416667,-72.58805556,Nord-Ouest
Cholera_Treatment_Center:Oriani:Ouest:Haiti,18.31666667,-71.93333333,Ouest
Anse-à-Galets:La_Gonave:Ouest:Haiti,18.8333,-72.867,Ouest
Arcahaie:Ouest:Haiti,18.76666667,-72.51666667,Ouest
Croix-des-Bouquets:Ouest:Haiti,18.57611111,-72.22694444,Ouest
Montrouis:Ouest:Haiti,18.95055556,-72.70444444,Ouest
Port-au-Prince:Ouest:Haiti,18.53333333,-72.3333,Ouest
Centre_Hospitalier_de_Pernier:Pernier:Ouest:Haiti,18.522,-72.23,Ouest
Lima:Peru,-12.04333333,-77.02833333,None
Florida:Saint-Marc:Artibonite:Haiti,28.1,-81.6,Artibonite
Aquin:Sud:Haiti,18.283,-73.4,Sud
Departement_Sanitaire_du_Sud_Est:Sud_Est:Haiti,18.2333,-72.533,Sud_Est
Cholera_Treatment_Center:Tabarre:Ouest:Haiti,18.583,-72.2667,Ouest
Cheasapeake_bay:USA,39.54305556,-76.07555556,None
Kolkata:West_Bengal:India,22.566,88.367,None
Sundarban:West_Bengal:India,21.9497,89.1833,None
Australia,-27,133,None
Bangladesh,24,90,None
Brazil,-10,-55,None
Cameroon,6,12,None
Celebes_Islands,-2,121,None
Dominican_Republic,19,-70.66666667,None
Haiti,18.53333333,-72.3333,None
India,20,77,None
India/Sri_Lanka,7,81,None
Indonesia,-5,120,None
Kenya,1,38,None
Mexico,23,-102,None
Nepal,28,84,Other Nepal
Pakistan,30,70,None
Peru,-10,-76,None
Saudi_Arabia,25,45,None
South_Africa,-29,24,None
Sudan,15,30,None
Thailand,15,100,None
United_States_(Travel_to_Benin),38,-97,None
US_Gulf_Coast,25.93027778,-97.48444444,None
USA,38,-97,None
Zambia,-15,30,None
Zimbabwe,-20,30,None
